BoreholeID,GeologyID,DepthTop,DepthBase
BH-149,TTC-G2,42.67,54.86
BH-147,TTC-G2,43.74,47.47
BH-147,TTC-G2,14.58,34.33
BH-148,TTC-G2,25.36,29.92
BH-149,TTC-G2,17.83,30.58
BH-150,TTC-G2,10.05,22.19
BH-153,TTC-G2,11.58,14.78
BH-153,TTC-G2,25.98,34.34
BH-155,TTC-G1,10.05,14.59
BH-155,TTC-G2,42.21,55.82
BH-154,TTC-G2,10.67,32.33
BH-154,TTC-G2,43.59,47.24
BH-154,TTC-G2,7.62,9.7
BH-156,TTC-G2,44.22,48.16
BH-158,TTC-G2,8.69,34.37
BH-157,TTC-G2,22.35,32.8
BH-159,TTC-G2,16.76,30.76
BH-159,TTC-G2,42.67,53.19
BH-166,TTC-G2,28.96,33.53
BH-166,TTC-G2,44.27,45.72
BH-165,TTC-G2,43.74,47.52
BH-167,TTC-G2,19.33,34.33
BH-167,TTC-G2,44.27,46.02
BH-172,TTC-G2,43.53,52.88
BH-177,TTC-G2,46.8,54.42
BH-180,TTC-G2,34.57,39.7
BH-181,TTC-G2,25.4,30
BH-188,TTC-G2,16.04,19.25
BH-190,TTC-G2,28.6,31.5
BH-192,TTC-G2,8.7,11.8
BH-192,TTC-G2,46.8,52.9
BH-193,TTC-G2,10.21,13.26
BH-193,TTC-G2,23.66,35.1
BH-195,TTC-G2,45.28,52.9
BH-197,TTC-G2,19.2,23.9
BH-203,TTC-G2,10.21,13.26
BH-203,TTC-G2,19.36,28.51
BH-203,TTC-G2,33.08,36.13
BH-203,TTC-G1,28.51,33.08
BH-203,TTC-G2,45.28,55.94
BH-204,TTC-G2,11.7,17.8
BH-211,TTC-G2,21.44,23.9
BH-218,TTC-G2,11.7,14.7
BH-226,TTC-G2,11.6,13.8
BH-230,TTC-G2,46.74,50.54
BH-233,TTC-G2,15.24,28.96
BH-233,TTC-G2,46.84,50.29
BH-234,TTC-G2,22.86,25.91
BH-236,TTC-G2,24.12,31.29
BH-235,TTC-G2,39.55,48.16
BH-244,TTC-G2,39.7,49.83
BH-192,TTC-G5,4.57,8.7
BH-192,TTC-G3N,17.8,20.8
BH-177,TTC-G5,4.57,8.69
BH-139,TTC-G5,58.98,61.57
BH-134,TTC-G5,55.93,61.48
BH-133,TTC-G5,49.83,50.75
BH-127,TTC-G5,57.47,61.59
BH-123,TTC-G3N,7.16,14.78
BH-118,TTC-G5,35.97,40.39
BH-109,TTC-G5,19.35,20.88
BH-108,TTC-G5,52.64,57.45
BH-105,TTC-G5,46.79,49.83
BH-105,TTC-G5,17.68,19.35
BH-104,TTC-G5,22.4,28.5
BH-103,TTC-G5,22.16,34.59
BH-101,TTC-G3N,0.69,5.64
BH-092,TTC-G5,43.74,50.9
BH-093,TTC-G5,16.3,19.3
BH-093,TTC-G5,3.1,5.6
BH-086,TTC-G5,32.41,40.69
BH-084,TTC-G5,22.86,27.43
BH-078,TTC-G5,14.78,19.2
BH-075,TTC-G3N,5.64,8.69
BH-063,TTC-G5,23.62,25.15
BH-068,TTC-G5,11.58,14.78
BH-070,TTC-G5,20.68,28.43
BH-050,TTC-G3N,13.26,19.15
BH-042,TTC-G5,20.88,26.97
BH-041,TTC-G3N,2.21,7.16
BH-037,TTC-G5,24.38,29.11
BH-032,TTC-G3N,8.7,19.4
BH-032,TTC-G3N,19.4,23.93
BH-054,FILL,0.23,2.36
BH-084,TTC-G2,41.15,44.2
BH-100,TTC-G2,48.22,52.88
BH-098,FILL,0,2.9
BH-103,TTC-G2,46.79,53.47
BH-102,TTC-G2,13.2,26.7
BH-108,TTC-G2,7.16,10.21
BH-120,TTC-G2,16.3,27
BH-127,TTC-G2,48.33,55.94
BH-167,TTC-G2,11.73,16.23
BH-153,TTC-G2,16.19,20.29
BH-153,TTC-G1,20.29,25.98
BH-152,TTC-G2,44.27,47.5
BH-148,TTC-G2,8.69,14.78
BH-144,TTC-G2,7.4,16.71
BH-143,TTC-G2,6.1,15.24
BH-210,TTC-G2,16.15,17.8
BH-211,TTC-G1,14.7,21.44
BH-226,TTC-G1,14.7,20.8
BH-223,TTC-G2,20.9,22.9
BH-223,TTC-G1,13.2,20.9
BH-166,TTC-G6,33.53,44.27
BH-173,TTC-G7,31.32,42.21
BH-137,TTC-G7,44,47
BH-178,TTC-G1,13.2,19.2
BH-137,FILL,0.13,0.61
BH-135,FILL,0.13,0.61
BH-046,FILL,0.22,0.38
BH-059,FILL,0.2,0.99
BH-025,FILL,0.3,0.76
BH-084,TTC-G1,7.62,11.65
BH-188,TTC-G1,19.25,25.29
BH-131,TTC-G1,9.6,13.03
BH-127,TTC-G1,23.93,31.55
BH-191,TTC-G1,36.12,38.3
BH-191,TTC-G7,38.3,42.14
BH-183,TTC-G7,36.12,42.21
BH-176,TTC-G7,22.95,24.08
BH-174,TTC-G7,33.07,38.18
BH-196,TTC-G7,36.12,43.13
BH-218,TTC-G7,9.5,11.7
BH-221,TTC-G7,42.7,45.7
BH-135,TTC-G7,42.4,46.8
BH-136,TTC-G7,41.61,48.31
BH-172,TTC-G7,37.64,39.17
BH-169,TTC-G7,39.17,43.74
BH-170,TTC-G7,39.17,43.74
BH-168,TTC-G7,41.48,42.67
BH-162,TTC-G7,41.15,44.04
BH-153,TTC-G7,37.64,43.74
BH-161,TTC-G7,40.69,43.74
BH-149,TTC-G7,36.58,42.67
BH-146,TTC-G7,39.17,43.74
BH-027,FILL,0.46,2.21
BH-026,TTC-G3C,37.61,40.23
BH-026,TTC-G5,31.49,37.61
BH-026,TTC-G5,26.97,31.49
BH-025,TTC-G3N,2.29,3.81
BH-025,TTC-G3N,16.31,17.83
BH-024,TTC-G3N,3.25,3.66
BH-024,FILL,0.9,1.52
BH-023,FILL,0.76,1.52
BH-023,TTC-G3N,7.16,8.7
BH-028,TTC-G3N,1.4,4.57
BH-030,TTC-G6,4.6,8.4
BH-030,TTC-G6,22.4,27.1
BH-030,TTC-G5,31.6,37.6
BH-019,TTC-G3N,11.73,14.78
BH-019,TTC-G3N,16.31,17.83
BH-019,FILL,0.76,2.29
BH-018,FILL,0.6,1
BH-018,TTC-G5,14.78,16.31
BH-018,TTC-G3N,6.1,7.16
BH-018,TTC-G3N,1,1.52
BH-022,FILL,0.53,3.05
BH-014,TTC-G3N,1.52,3.05
BH-014,TTC-G3N,7.16,15.29
BH-012,FILL,0.76,3.05
BH-017,FILL,0.28,0.9
BH-015,TTC-G3N,3.05,3.81
BH-016,TTC-G5,13.26,16.31
BH-010,FILL,0.15,0.76
BH-009,FILL,0.2,0.76
BH-008,TTC-G3N,1.52,2.29
BH-009,TTC-G3N,5.33,7.16
BH-010,TTC-G3N,14.78,16.31
BH-007,TTC-G3N,3.05,3.81
BH-006,TTC-G3N,4.57,5.33
BH-006,TTC-G3N,7.16,7.87
BH-004,FILL,1.8,2.29
BH-004,TTC-G3N,2.29,3.81
BH-002,FILL,1.52,2.29
BH-045,FILL,0.03,0.84
BH-046,TTC-G6,1.45,2.21
BH-044,TTC-G3N,7.16,11.73
BH-045,TTC-G3N,13.26,19.35
BH-045,TTC-G3N,5.64,8.69
BH-048,TTC-G3N,5.64,14.78
BH-047,TTC-G3N,13.26,19.35
BH-041,FILL,0.61,2.21
BH-035,TTC-G5,13.26,16.31
BH-037,TTC-G3N,2.97,11.73
BH-035,TTC-G5,19.35,20.88
BH-037,TTC-G3C,0.76,2.97
BH-055,TTC-G3N,4.5,8.69
BH-055,TTC-G5,22.25,23.93
BH-053,TTC-G3N,3.73,8.08
BH-052,TTC-G3N,5.64,13.26
BH-050,TTC-G3N,1.45,8.7
BH-051,TTC-G3N,1.45,4.5
BH-049,TTC-G6,11.73,14.78
BH-087,FILL,0.91,3.05
BH-089,TTC-G5,46.79,50.75
BH-077,TTC-G5,33.07,39.17
BH-081,TTC-G5,62.48,65.53
BH-060,TTC-G5,11.66,13.11
BH-060,FILL,0.61,1.45
BH-064,FILL,0.25,1.5
BH-071,FILL,0.69,1.45
BH-071,TTC-G3N,1.45,3.73
BH-072,TTC-G5,53.34,56.39
BH-067,TTC-G5,25.45,28.5
BH-069,FILL,0.1,0.69
BH-065,TTC-G3N,3.73,5.64
BH-066,TTC-G5,16.23,17.83
BH-066,TTC-G3N,0.69,1.45
BH-118,TTC-G3N,10.21,13.26
BH-116,TTC-G3N,16.3,17.8
BH-104,TTC-G5,51.21,52.88
BH-098,TTC-G5,60.5,62.03
BH-098,TTC-G3N,39.17,48.31
BH-094,TTC-G5,17.67,23.76
BH-094,TTC-G3N,5.64,7.09
BH-094,TTC-G5,8.43,14.62
BH-094,FILL,3.73,5.64
BH-095,TTC-G5,54.33,60.35
BH-143,TTC-G5,3.05,6.1
BH-144,TTC-G5,59.44,60.96
BH-142,TTC-G5,2.21,5.55
